Data,Titolo Notizia,Link,Fonte RSS,Categoria,Regione/Area,Rilevanza,Spunto Social,Stato,Note Editoriali
09/05/2026 08:20,"Pizzeria De Giuseppe, Rende: teoria e prassi della pizza cosentina",https://www.scattidigusto.it/pizzeria-de-giuseppe-a-rende-menu-prezzi,Scatti di Gusto,Food,Calabria,6,Spunto.,Nuova,
09/05/2026 08:20,"Fuego a Santa Maria di Castellabate, braceria imperdibile in Cilento",https://www.scattidigusto.it/fuego-braceria-a-santa-maria-di-castellabate-in-cilento-la-recensione,Scatti di Gusto,Gastro Sud,Campania,6,Spunto.,Nuova,
09/05/2026 08:20,"Materia Spazio Cucina a Catania, ristorante di gusto autentico",https://www.scattidigusto.it/ristorante-materia-spazio-cucina-a-catania-menu-recensione,Scatti di Gusto,Food,Sicilia,6,Spunto.,Nuova,
09/05/2026 08:20,Le Tre Sorelle in Cilento: i piatti di pesce eccellenti di Franca Feola,https://www.scattidigusto.it/locanda-le-tre-sorelle-a-casal-velino-in-cilento-menu-prezzi-recensione,Scatti di Gusto,Food,Campania,6,Spunto.,Nuova,
09/05/2026 08:20,"Bop a Napoli, non avrai altri ottimi dumpling a questi prezzi",https://www.scattidigusto.it/bop-dove-mangiare-dumpling-a-napoli,Scatti di Gusto,Business/Export,Campania,6,Spunto.,Nuova,
08/05/2026 10:03,"È morto Roberto Mostini, il critico gastronomico che amava i vini francesi e la Liguria",https://www.gamberorosso.it/notizie/attualita/morto-roberto-mostini-guardiano-del-faro/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
07/05/2026 16:56,Il jazz cambia il sapore del vino. Il sorprendente studio che riscrive le regole della degustazione,https://www.gamberorosso.it/notizie/vino/effetti-musica-jazz-vino-studio-universita-pisa/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
07/05/2026 13:28,"""Con il vino in bag in box abbiamo sfidato la crisi"". Parla l'imprenditrice che ha rilanciato lo sfuso (buono)",https://www.gamberorosso.it/notizie/vino/vino-bag-in-box-progetto-sfuso-buono-alessandra-costa/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
07/05/2026 11:58,Enoturismo e nuovo disciplinare per il Consorzio vini Bardolino: gli obiettivi del presidente Fabio Dei Micheli,https://www.gamberorosso.it/notizie/vino/consorzio-vini-bardolino-rieletto-presidente-fabio-dei-micheli/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
10/05/2026 01:01,Cantina Terrae Laboriae a San Lorenzo Maggiore,https://www.lucianopignataro.it/a/cantina-terrae-laboriae-a-san-lorenzo-maggiore/294285/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
10/05/2026 07:14,"Coltiva vino su un vulcano attivo: nei Campi Flegrei nasce una Falanghina sorprendente",https://www.gamberorosso.it/notizie/vino/degustazioni/vini-campi-flegrei-falanghina-tenuta-loffredo/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
09/05/2026 10:04,"Chi era il simposiarca, l'antenato del sommelier che decideva quanto e cosa far bere in base alla conversazione",https://www.gamberorosso.it/notizie/rubriche/storie/simposio-vino-ruolo-simposiarca-antica-grecia/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
10/05/2026 08:27,"Pizzeria Nasti Eat a Nocera Inferiore, in un capannone industriale la visione moderna della pizza",https://www.lucianopignataro.it/a/pizzeria-nasti-eat-a-nocera-inferiore-christian-nasti/234719/,Luciano Pignataro Wine Blog,Gastro Sud,Campania,6,Spunto.,Nuova,
10/05/2026 11:56,"150 anni di storia, poi il terremoto: così un ristorante ha dovuto ricominciare da zero",https://www.gamberorosso.it/notizie/ristoranti/zunica-1880-terremoto-ripartenza-abruzzo/,Gambero Rosso,Food,Abruzzo,6,Spunto.,Nuova,
12/05/2026 19:00,"Vini Rossi e Rosato Fontanavecchia – Nuove annate",https://www.lucianopignataro.it/a/vini-rossi-fontanavecchia-nuove-annate/275092/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
13/05/2026 03:35,"""Vini Rivoluzionari"" e la ""Bottega dei Semplici Pensieri"" a Foqus",https://www.lucianopignataro.it/a/vini-rivoluzionari-e-la-bottega-dei-semplici-pensieri-a-foqus/294354/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
14/05/2026 02:18,"AMONTEFALCO 2026: L'Anteprima del Sagrantino e del Trebbiano Spoletino",https://www.lucianopignataro.it/a/amontefalco-2026-lanteprima-del-sagrantino-e-del-trebbiano-spoletino/294485/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
15/05/2026 08:20,"Villa Ischia, ristorante in Ciociaria che ha solo chef e sommelier",https://www.scattidigusto.it/villa-ischia-ristorante-ad-atina-frosinone,Scatti di Gusto,Food,Campania,7,Spunto.,Nuova,
14/05/2026 13:22,Otto startup da tenere d'occhio che guideranno la trasformazione del vino italiano,https://www.gamberorosso.it/notizie/vino/otto-start-up-vino-italiano-verona-agrifood-innovation-hub/,Gambero Rosso,Business/Export,Sud Italia / Mediterraneo,7,Spunto.,Nuova,
15/05/2026 08:20,"Beneficenza in Campania: Festa a Vico 2026, date e programma",https://www.scattidigusto.it/eventi-beneficenza-2026-in-campania,Scatti di Gusto,Territorio/Eventi,Campania,6,Spunto.,Nuova,
16/05/2026 03:00,"InvecchiatIGP. Sangiovese di Romagna DOC Superiore Riserva Domus Caia 2001, Ferrucci",https://www.lucianopignataro.it/a/invecchiatigp-sangiovese-di-romagna-doc-superiore-riserva-domus-caia-2001-ferrucci/294380/,Luciano Pignataro Wine Blog,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
15/05/2026 13:06,Per anni ci hanno detto che più alcol significava vino migliore. Oggi non è più così,https://www.gamberorosso.it/notizie/vino/vini-low-alcol-mercato/,Gambero Rosso,Vino,Sud Italia / Mediterraneo,6,Spunto.,Nuova,
